intersection_key,road_key,time_key,Before,During,After,osm_id,latitude,longitude,osm_name,osm_connected_roads,accepted,review_rule,osm_url,access_date,inside_bangkok_boundary
สะพานควาย,ประดิพัทธ์,07:00-09:00,100.0,95.70071258907365,69.69121140142518,4599130224,13.7898139,100.5482078,สะพานควาย,ประดิพัทธ์ / พหลโยธิน,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/4599130224,2026-09-14,True
สะพานควาย,พหลโยธิน,07:00-09:00,100.0,116.25451263537909,91.14620938628158,4599130224,13.7898139,100.5482078,สะพานควาย,ประดิพัทธ์ / พหลโยธิน,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/4599130224,2026-09-14,True
สะพานแดง,ทหาร,07:00-09:00,100.0,74.17645703754894,72.70214236351072,446286820,13.7934578,100.5299073,แยกสะพานแดง,ทหาร / ประดิพัทธ์ / พระรามที่ 5 / เตชะวนิช,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/446286820,2026-09-14,True
สะพานแดง,ประดิพัทธ์,07:00-09:00,100.0,88.43243243243244,121.83783783783784,446286820,13.7934578,100.5299073,แยกสะพานแดง,ทหาร / ประดิพัทธ์ / พระรามที่ 5 / เตชะวนิช,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/446286820,2026-09-14,True
สะพานแดง,พระรามที่ 5,07:00-09:00,100.0,90.28103044496488,121.31147540983606,446286820,13.7934578,100.5299073,แยกสะพานแดง,ทหาร / ประดิพัทธ์ / พระรามที่ 5 / เตชะวนิช,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/446286820,2026-09-14,True
สามยอด,มหาไชย,07:00-09:00,100.0,70.80916030534351,85.65648854961833,13167186226,13.7469531,100.5031696,แยกสามยอด,มหาไชย / เจริญกรุง,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/13167186226,2026-09-14,True
สามยอด,เจริญกรุง,07:00-09:00,100.0,94.18067226890756,127.62605042016806,13167186226,13.7469531,100.5031696,แยกสามยอด,มหาไชย / เจริญกรุง,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/13167186226,2026-09-14,True
สามเสน,นครไชยศรี,07:00-09:00,100.0,110.96571578120913,97.61842449620518,268267467,13.7761727,100.5283651,แยกสามเสน,นครไชยศรี,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/268267467,2026-09-14,True
อุณากรรณ,อุณากรรณ,07:00-09:00,100.0,88.49015317286653,53.04157549234135,13167186222,13.747057,100.5010887,แยกอุณากรรณ,บูรพา / อุณากรรณ / เจริญกรุง,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/13167186222,2026-09-14,True
อุณากรรณ,เจริญกรุง,07:00-09:00,100.0,131.19221411192214,167.20194647201947,13167186222,13.747057,100.5010887,แยกอุณากรรณ,บูรพา / อุณากรรณ / เจริญกรุง,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/13167186222,2026-09-14,True
เกษะโกมล,พระรามที่ 5,07:00-09:00,100.0,71.58241758241758,80.24175824175825,446298085,13.783349,100.5244063,แยกเกษะโกมล,พระรามที่ 5 / อำนวยสงคราม / เศรษฐศิริ,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/446298085,2026-09-14,True
เกษะโกมล,อำนวยสงคราม,07:00-09:00,100.0,71.81467181467181,99.83452840595696,446298085,13.783349,100.5244063,แยกเกษะโกมล,พระรามที่ 5 / อำนวยสงคราม / เศรษฐศิริ,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/446298085,2026-09-14,True
เกษะโกมล,เศรษฐศิริ,07:00-09:00,100.0,54.07279029462738,94.10745233968804,446298085,13.783349,100.5244063,แยกเกษะโกมล,พระรามที่ 5 / อำนวยสงคราม / เศรษฐศิริ,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/446298085,2026-09-14,True
เกียกกาย,ทหาร,07:00-09:00,100.0,203.06957708049111,187.51705320600277,373456028,13.7972807,100.5213412,แยกเกียกกาย,ทหาร / ประชาราษฎร์สาย 1 / สามเสน,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/373456028,2026-09-14,True
เกียกกาย,ประชาราษฎร์สาย 1,07:00-09:00,100.0,74.3482905982906,82.01923076923077,373456028,13.7972807,100.5213412,แยกเกียกกาย,ทหาร / ประชาราษฎร์สาย 1 / สามเสน,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/373456028,2026-09-14,True
เกียกกาย,สามเสน,07:00-09:00,100.0,81.40350877192982,62.69005847953216,373456028,13.7972807,100.5213412,แยกเกียกกาย,ทหาร / ประชาราษฎร์สาย 1 / สามเสน,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/373456028,2026-09-14,True
เฉลิมกรุง,ตรีเพชร,07:00-09:00,100.0,51.63313300235172,54.58583747060361,13167186218,13.7471239,100.4997484,แยกเฉลิมกรุง,ตรีเพชร / ตีทอง / เจริญกรุง,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/13167186218,2026-09-14,True
เฉลิมกรุง,เจริญกรุง,07:00-09:00,100.0,60.27079303675048,68.23984526112186,13167186218,13.7471239,100.4997484,แยกเฉลิมกรุง,ตรีเพชร / ตีทอง / เจริญกรุง,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/13167186218,2026-09-14,True
