source_excel_row,id,survey_date,Date,month,year,covid_period,intersection,road,period,time_period,passenger_car,pickup_van,large_bus,small_bus,truck,tuk_tuk,Unnamed: 16,Unnamed: 17,source_sha256,source_sheet,intersection_key,road_key,report_day,report_month,report_year,report_date,survey_date_parsed,survey_month,survey_year,report_quarter,start_time,end_time,period_hours,time_key,passenger_car_clean,passenger_car_zero_assumed,pickup_van_clean,pickup_van_zero_assumed,large_bus_clean,large_bus_zero_assumed,small_bus_clean,small_bus_zero_assumed,truck_clean,truck_zero_assumed,tuk_tuk_clean,tuk_tuk_zero_assumed,has_assumed_zero,numeric_unresolved,numeric_negative,numeric_fractional,exact_repeat,repeated_survey_key,repeated_report_key,candidate_eligible
32,31,7/3/2017,7,3,2017,ก่อนโควิด,ใต้ด่วนพระราม 4,พระรามที่ 4,เร่งด่วนเช้า,เร่งด่วนเช้า (07:00-09:00),7410,2282,118,24,35,57,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,ใต้ด่วนพระราม 4,พระรามที่ 4,7,3,2017,2017-03-07,2017-03-07,3,2017,1,07:00,09:00,2.0,07:00-09:00,7410.0,False,2282.0,False,118.0,False,24,False,35,False,57,False,False,False,False,False,False,False,False,True
33,32,7/3/2017,7,3,2017,ก่อนโควิด,ใต้ด่วนพระราม 4,พระรามที่ 4,นอกเร่งด่วน,นอกเร่งด่วน (09:00-16:00),26611,9186,639,123,398,349,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,ใต้ด่วนพระราม 4,พระรามที่ 4,7,3,2017,2017-03-07,2017-03-07,3,2017,1,09:00,16:00,7.0,09:00-16:00,26611.0,False,9186.0,False,639.0,False,123,False,398,False,349,False,False,False,False,False,False,False,False,True
34,33,7/3/2017,7,3,2017,ก่อนโควิด,ใต้ด่วนพระราม 4,พระรามที่ 4,เร่งด่วนเย็น,เร่งด่วนเย็น (16:00-19:00),14960,4964,447,92,162,226,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,ใต้ด่วนพระราม 4,พระรามที่ 4,7,3,2017,2017-03-07,2017-03-07,3,2017,1,16:00,19:00,3.0,16:00-19:00,14960.0,False,4964.0,False,447.0,False,92,False,162,False,226,False,False,False,False,False,False,False,False,True
35,34,8/3/2017,8,3,2017,ก่อนโควิด,สุขุมวิท11,ซ.สุขุมวิท 11,เร่งด่วนเช้า,เร่งด่วนเช้า (07:00-09:00),311,86,0,0,0,7,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,สุขุมวิท11,ซ.สุขุมวิท 11,8,3,2017,2017-03-08,2017-03-08,3,2017,1,07:00,09:00,2.0,07:00-09:00,311.0,False,86.0,False,0.0,False,0,False,0,False,7,False,False,False,False,False,False,False,False,True
36,35,8/3/2017,8,3,2017,ก่อนโควิด,สุขุมวิท11,ซ.สุขุมวิท 11,นอกเร่งด่วน,นอกเร่งด่วน (09:00-16:00),1108,284,0,0,7,80,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,สุขุมวิท11,ซ.สุขุมวิท 11,8,3,2017,2017-03-08,2017-03-08,3,2017,1,09:00,16:00,7.0,09:00-16:00,1108.0,False,284.0,False,0.0,False,0,False,7,False,80,False,False,False,False,False,False,False,False,True
37,36,8/3/2017,8,3,2017,ก่อนโควิด,สุขุมวิท11,ซ.สุขุมวิท 11,เร่งด่วนเย็น,เร่งด่วนเย็น (16:00-19:00),413,97,0,1,2,39,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,สุขุมวิท11,ซ.สุขุมวิท 11,8,3,2017,2017-03-08,2017-03-08,3,2017,1,16:00,19:00,3.0,16:00-19:00,413.0,False,97.0,False,0.0,False,1,False,2,False,39,False,False,False,False,False,False,False,False,True
38,37,8/3/2017,8,3,2017,ก่อนโควิด,สุขุมวิท11,สุขุมวิท,เร่งด่วนเช้า,เร่งด่วนเช้า (07:00-09:00),4250,1242,120,3,11,74,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,สุขุมวิท11,สุขุมวิท,8,3,2017,2017-03-08,2017-03-08,3,2017,1,07:00,09:00,2.0,07:00-09:00,4250.0,False,1242.0,False,120.0,False,3,False,11,False,74,False,False,False,False,False,False,False,False,True
39,38,8/3/2017,8,3,2017,ก่อนโควิด,สุขุมวิท11,สุขุมวิท,นอกเร่งด่วน,นอกเร่งด่วน (09:00-16:00),15834,4379,426,11,164,271,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,สุขุมวิท11,สุขุมวิท,8,3,2017,2017-03-08,2017-03-08,3,2017,1,09:00,16:00,7.0,09:00-16:00,15834.0,False,4379.0,False,426.0,False,11,False,164,False,271,False,False,False,False,False,False,False,False,True
40,39,8/3/2017,8,3,2017,ก่อนโควิด,สุขุมวิท11,สุขุมวิท,เร่งด่วนเย็น,เร่งด่วนเย็น (16:00-19:00),6407,1543,89,10,52,123,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,สุขุมวิท11,สุขุมวิท,8,3,2017,2017-03-08,2017-03-08,3,2017,1,16:00,19:00,3.0,16:00-19:00,6407.0,False,1543.0,False,89.0,False,10,False,52,False,123,False,False,False,False,False,False,False,False,True
41,40,8/3/2017,8,3,2017,ก่อนโควิด,สุขุมวิท22,ซ.สุขุมวิท 22,เร่งด่วนเช้า,เร่งด่วนเช้า (07:00-09:00),398,129,8,0,42,4,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,สุขุมวิท22,ซ.สุขุมวิท 22,8,3,2017,2017-03-08,2017-03-08,3,2017,1,07:00,09:00,2.0,07:00-09:00,398.0,False,129.0,False,8.0,False,0,False,42,False,4,False,False,False,False,False,False,False,False,True
