intersection_key,road_key,time_key,ก่อนโควิด,โควิด,หลังโควิด
ด่วนเกษมราษฎร์,เกษมราษฎร์,07:00-09:00,1,1,2
ด่วนเพลินจิต,ดวงพิทักษ์,07:00-09:00,1,1,1
ด่วนเพลินจิต,สุขุมวิท,07:00-09:00,1,1,1
ด่วนเพลินจิต,เพลินจิต,07:00-09:00,1,1,2
ตรอกจันทน์,จันทน์,07:00-09:00,1,1,1
ตรอกจันทน์,เจริญกรุง,07:00-09:00,1,1,1
ตากสิน,กรุงธนบุรี,07:00-09:00,2,1,1
ตากสิน,ราชพฤกษ์,07:00-09:00,2,1,1
ตากสิน,สมเด็จพระเจ้าตากสิน,07:00-09:00,2,1,1
ถนนตก,พระรามที่ 3,07:00-09:00,2,2,2
ถนนตก,เจริญกรุง,07:00-09:00,2,2,2
ทองหล่อ,สุขุมวิท,07:00-09:00,2,1,4
ทองหล่อ,สุขุมวิท,09:00-16:00,2,1,1
ทองหล่อ,สุขุมวิท,16:00-19:00,2,1,1
ทุ่งครุ,ครุใน,07:00-09:00,2,1,1
ทุ่งครุ,ประชาอุทิศ,07:00-09:00,2,1,1
ทุ่งสาธิต,สุขุมวิท,07:00-09:00,1,1,2
ท่าดินแดง,ท่าดินแดง,07:00-09:00,2,1,2
ท่าดินแดง,ท่าดินแดง,09:00-16:00,2,1,1
ท่าดินแดง,ท่าดินแดง,16:00-19:00,2,1,1
ท่าดินแดง,สมเด็จเจ้าพระยา,07:00-09:00,2,1,1
ท่าพระ,จรัญสนิทวงศ์,07:00-09:00,1,1,2
ท่าพระ,รัชดาภิเษก,07:00-09:00,1,1,2
ท่าพระ,เพชรเกษม,07:00-09:00,1,1,2
นวมินทร์ - ประเสริฐมนูกิจ,ประเสริฐมนูกิจ,07:00-09:00,1,1,1
นอร์ธปาร์ค,กำแพงเพชร 6,07:00-09:00,1,1,1
นอร์ธปาร์ค,ชิดชน,07:00-09:00,1,1,1
นางลิ้นจี่,นางลิ้นจี่,09:00-16:00,1,1,1
นางลิ้นจี่,พระรามที่ 3,09:00-16:00,1,1,1
นางเลิ้ง,นครสวรรค์,09:00-16:00,1,1,1
นางเลิ้ง,พิษณุโลก,07:00-09:00,1,1,2
นางเลิ้ง,พิษณุโลก,09:00-16:00,1,1,1
นางเลิ้ง,พิษณุโลก,16:00-19:00,1,1,1
นานา,สุขุมวิท,09:00-16:00,1,1,1
นาหลวง,พุทธบูชา,07:00-09:00,2,1,2
นิด้า,ศรีบูรพา,07:00-09:00,1,1,3
นิด้า,เสรีไทย,07:00-09:00,1,2,3
บรมราชชนนี,จรัญสนิทวงศ์,07:00-09:00,1,1,3
บรมราชชนนี,บรมราชชนนี,07:00-09:00,1,1,4
บรมราชชนนี,บรมราชชนนี,09:00-16:00,1,1,1
บรมราชชนนี,บรมราชชนนี,16:00-19:00,1,1,1
บางกระบือ,สามเสน,07:00-09:00,1,2,2
บางกระบือ,สามเสน,09:00-16:00,1,2,1
บางกระบือ,สามเสน,16:00-19:00,1,2,1
บางกระบือ,อำนวยสงคราม,07:00-09:00,1,2,2
บางกระบือ,อำนวยสงคราม,09:00-16:00,1,1,1
บางกระบือ,อำนวยสงคราม,16:00-19:00,1,2,1
บางกระบือ,เขียวไข่กา,07:00-09:00,1,2,2
บางกระบือ,เขียวไข่กา,09:00-16:00,1,2,1
บางกระบือ,เขียวไข่กา,16:00-19:00,1,2,1
บางกะปิ,พ่วงศิริ,07:00-09:00,1,1,1
บางกะปิ,ลาดพร้าว,07:00-09:00,1,1,1
บางกะปิ,เสรีไทย,07:00-09:00,1,1,1
บางขุนนนท์,จรัญสนิทวงศ์,07:00-09:00,2,2,3
บางขุนนนท์,บางกอกน้อยตลิ่งชัน,07:00-09:00,1,1,1
บางชัน,เสรีไทย,07:00-09:00,1,1,1
