source_excel_row,field,original_value,replacement,reason
6993,large_bus,-,0,user_rule_missing_or_dash_is_zero
6994,large_bus,-,0,user_rule_missing_or_dash_is_zero
6997,large_bus,-,0,user_rule_missing_or_dash_is_zero
6998,large_bus,-,0,user_rule_missing_or_dash_is_zero
6999,large_bus,-,0,user_rule_missing_or_dash_is_zero
7001,large_bus,-,0,user_rule_missing_or_dash_is_zero
7002,large_bus,-,0,user_rule_missing_or_dash_is_zero
7003,large_bus,-,0,user_rule_missing_or_dash_is_zero
7010,large_bus,-,0,user_rule_missing_or_dash_is_zero
7013,large_bus,-,0,user_rule_missing_or_dash_is_zero
7016,large_bus,-,0,user_rule_missing_or_dash_is_zero
7018,large_bus,-,0,user_rule_missing_or_dash_is_zero
7020,large_bus,-,0,user_rule_missing_or_dash_is_zero
7150,large_bus,-,0,user_rule_missing_or_dash_is_zero
7151,large_bus,-,0,user_rule_missing_or_dash_is_zero
7155,large_bus,-,0,user_rule_missing_or_dash_is_zero
7156,large_bus,-,0,user_rule_missing_or_dash_is_zero
7158,large_bus,-,0,user_rule_missing_or_dash_is_zero
7160,large_bus,-,0,user_rule_missing_or_dash_is_zero
7161,large_bus,-,0,user_rule_missing_or_dash_is_zero
7162,large_bus,-,0,user_rule_missing_or_dash_is_zero
7164,large_bus,-,0,user_rule_missing_or_dash_is_zero
7165,large_bus,-,0,user_rule_missing_or_dash_is_zero
7167,large_bus,-,0,user_rule_missing_or_dash_is_zero
7168,large_bus,-,0,user_rule_missing_or_dash_is_zero
7169,large_bus,-,0,user_rule_missing_or_dash_is_zero
7170,large_bus,-,0,user_rule_missing_or_dash_is_zero
7171,large_bus,-,0,user_rule_missing_or_dash_is_zero
7173,large_bus,-,0,user_rule_missing_or_dash_is_zero
7174,large_bus,-,0,user_rule_missing_or_dash_is_zero
7176,large_bus,-,0,user_rule_missing_or_dash_is_zero
7183,large_bus,-,0,user_rule_missing_or_dash_is_zero
7184,large_bus,-,0,user_rule_missing_or_dash_is_zero
7186,large_bus,-,0,user_rule_missing_or_dash_is_zero
7188,large_bus,-,0,user_rule_missing_or_dash_is_zero
7189,large_bus,-,0,user_rule_missing_or_dash_is_zero
7190,large_bus,-,0,user_rule_missing_or_dash_is_zero
7192,large_bus,-,0,user_rule_missing_or_dash_is_zero
7194,large_bus,-,0,user_rule_missing_or_dash_is_zero
7195,large_bus,-,0,user_rule_missing_or_dash_is_zero
7196,large_bus,-,0,user_rule_missing_or_dash_is_zero
7198,large_bus,-,0,user_rule_missing_or_dash_is_zero
7208,large_bus,-,0,user_rule_missing_or_dash_is_zero
7224,large_bus,-,0,user_rule_missing_or_dash_is_zero
7226,large_bus,-,0,user_rule_missing_or_dash_is_zero
7228,large_bus,-,0,user_rule_missing_or_dash_is_zero
7230,large_bus,-,0,user_rule_missing_or_dash_is_zero
7232,large_bus,-,0,user_rule_missing_or_dash_is_zero
7234,large_bus,-,0,user_rule_missing_or_dash_is_zero
7236,large_bus,-,0,user_rule_missing_or_dash_is_zero
7238,large_bus,-,0,user_rule_missing_or_dash_is_zero
7241,large_bus,-,0,user_rule_missing_or_dash_is_zero
7247,large_bus,-,0,user_rule_missing_or_dash_is_zero
7253,large_bus,-,0,user_rule_missing_or_dash_is_zero
7402,large_bus,-,0,user_rule_missing_or_dash_is_zero
7413,large_bus,-,0,user_rule_missing_or_dash_is_zero
7420,large_bus,-,0,user_rule_missing_or_dash_is_zero
7427,large_bus,-,0,user_rule_missing_or_dash_is_zero
7451,large_bus,-,0,user_rule_missing_or_dash_is_zero
7471,large_bus,-,0,user_rule_missing_or_dash_is_zero
7634,large_bus,-,0,user_rule_missing_or_dash_is_zero
7636,large_bus,-,0,user_rule_missing_or_dash_is_zero
7640,large_bus,-,0,user_rule_missing_or_dash_is_zero
7643,large_bus,-,0,user_rule_missing_or_dash_is_zero
7646,large_bus,-,0,user_rule_missing_or_dash_is_zero
7653,large_bus,-,0,user_rule_missing_or_dash_is_zero
7654,large_bus,-,0,user_rule_missing_or_dash_is_zero
7656,large_bus,-,0,user_rule_missing_or_dash_is_zero
7658,large_bus,-,0,user_rule_missing_or_dash_is_zero
7668,large_bus,-,0,user_rule_missing_or_dash_is_zero
7672,large_bus,-,0,user_rule_missing_or_dash_is_zero
7676,large_bus,-,0,user_rule_missing_or_dash_is_zero
7677,large_bus,-,0,user_rule_missing_or_dash_is_zero
7682,large_bus,-,0,user_rule_missing_or_dash_is_zero
