location_code,intersection_key,road_key,covid_period,survey_date_parsed,survey_weekday,report_date,vehicles_per_hour,has_assumed_zero,calendar_screen,period_before_emergency,source_excel_row
L13,หลักสี่,กำแพงเพชร 6,หลังโควิด,2026-05-20,Wednesday,2026-05-20,1049.0,False,no_selected_calendar_window; other_events_not_ruled_out,False,16950
L14,หลักสี่,แจ้งวัฒนะ,ก่อนโควิด,2017-06-19,Monday,2017-06-19,2962.0,False,no_selected_calendar_window; other_events_not_ruled_out,False,512
L14,หลักสี่,แจ้งวัฒนะ,ก่อนโควิด,2018-08-21,Tuesday,2018-08-21,3895.5,False,no_selected_calendar_window; other_events_not_ruled_out,False,2483
L14,หลักสี่,แจ้งวัฒนะ,โควิด,2021-05-20,Thursday,2021-05-20,2121.5,False,no_selected_calendar_window; other_events_not_ruled_out,False,6928
L14,หลักสี่,แจ้งวัฒนะ,โควิด,2021-10-06,Wednesday,2021-10-06,2885.0,False,no_selected_calendar_window; other_events_not_ruled_out,False,7864
L14,หลักสี่,แจ้งวัฒนะ,หลังโควิด,2023-07-25,Tuesday,2023-07-25,2417.0,False,no_selected_calendar_window; other_events_not_ruled_out,False,11553
L14,หลักสี่,แจ้งวัฒนะ,หลังโควิด,2024-01-18,Thursday,2024-01-18,2455.0,False,no_selected_calendar_window; other_events_not_ruled_out,False,12531
L14,หลักสี่,แจ้งวัฒนะ,หลังโควิด,2026-05-20,Wednesday,2026-05-20,2450.0,False,no_selected_calendar_window; other_events_not_ruled_out,False,16953
L15,ห้วยขวาง,ประชาสงเคราะห์,ก่อนโควิด,2018-03-27,Tuesday,2018-03-27,422.5,False,no_selected_calendar_window; other_events_not_ruled_out,False,1844
L15,ห้วยขวาง,ประชาสงเคราะห์,ก่อนโควิด,2019-12-24,Tuesday,2019-12-24,859.5,False,no_selected_calendar_window; other_events_not_ruled_out,False,4904
L15,ห้วยขวาง,ประชาสงเคราะห์,โควิด,2021-08-16,Monday,2021-08-16,496.0,False,no_selected_calendar_window; other_events_not_ruled_out,False,7516
L15,ห้วยขวาง,ประชาสงเคราะห์,โควิด,2021-12-22,Wednesday,2021-12-22,1525.0,False,no_selected_calendar_window; other_events_not_ruled_out,False,8350
L15,ห้วยขวาง,ประชาสงเคราะห์,หลังโควิด,2022-07-11,Monday,2022-07-11,466.0,False,no_selected_calendar_window; other_events_not_ruled_out,False,9474
L15,ห้วยขวาง,ประชาสงเคราะห์,หลังโควิด,2023-03-28,Tuesday,2023-03-28,482.0,False,no_selected_calendar_window; other_events_not_ruled_out,False,10950
L15,ห้วยขวาง,ประชาสงเคราะห์,หลังโควิด,2024-09-12,Thursday,2024-09-12,583.0,False,no_selected_calendar_window; other_events_not_ruled_out,False,13881
L15,ห้วยขวาง,ประชาสงเคราะห์,หลังโควิด,2026-01-09,Friday,2026-01-09,488.5,False,no_selected_calendar_window; other_events_not_ruled_out,False,16311
L17,เตาปูน,ประชาราษฎร์สาย 2,ก่อนโควิด,2017-08-04,Friday,2017-08-04,1682.5,False,no_selected_calendar_window; other_events_not_ruled_out,False,776
L17,เตาปูน,ประชาราษฎร์สาย 2,ก่อนโควิด,2019-10-04,Friday,2019-10-04,1393.0,False,no_selected_calendar_window; other_events_not_ruled_out,False,4490
L17,เตาปูน,ประชาราษฎร์สาย 2,โควิด,2021-06-15,Tuesday,2021-06-15,1383.0,False,no_selected_calendar_window; other_events_not_ruled_out,False,7058
L17,เตาปูน,ประชาราษฎร์สาย 2,โควิด,2021-09-06,Monday,2021-09-06,1041.0,False,no_selected_calendar_window; other_events_not_ruled_out,False,7679
L17,เตาปูน,ประชาราษฎร์สาย 2,หลังโควิด,2023-07-21,Friday,2023-07-21,1735.0,False,no_selected_calendar_window; other_events_not_ruled_out,False,11535
L17,เตาปูน,ประชาราษฎร์สาย 2,หลังโควิด,2025-10-30,Thursday,2025-10-30,1316.0,False,no_selected_calendar_window; other_events_not_ruled_out,False,16044
