intersection_key,road_key,time_key,actual_month,Before,After_year,paired_index,report_year
มหานคร,มหานคร,16:00-19:00,11,1168.6666666666667,1090.0,93.2686822589846,2022
รามคำแหง,พระราม 9,07:00-09:00,7,7679.0,6739.0,87.75882276338065,2022
รามคำแหง,พระราม 9,09:00-16:00,7,7184.571428571428,7777.714285714285,108.2557862085421,2022
รามคำแหง,พระราม 9,16:00-19:00,7,7051.666666666667,8041.666666666667,114.0392342235878,2022
รามคำแหง,รามคำแหง,07:00-09:00,7,3827.5,3512.0,91.75702155453952,2022
รามคำแหง,รามคำแหง,09:00-16:00,7,3351.5714285714284,2934.714285714286,87.56233749627042,2022
รามคำแหง,รามคำแหง,16:00-19:00,7,3395.333333333333,3570.0,105.14431572746909,2022
สามเหลี่ยมดินแดง,ดินแดง,07:00-09:00,5,2431.0,3282.0,135.00617030028795,2022
สามเหลี่ยมดินแดง,ดินแดง,09:00-16:00,5,2433.5714285714284,2942.8571428571427,120.92750220135015,2022
สามเหลี่ยมดินแดง,ดินแดง,16:00-19:00,5,1374.6666666666667,1771.6666666666667,128.8797284190107,2022
สามเหลี่ยมดินแดง,ราชปรารภ,07:00-09:00,5,2789.0,1760.5,63.122983148081744,2022
สามเหลี่ยมดินแดง,ราชปรารภ,09:00-16:00,5,2297.0,1715.7142857142858,74.69369985695629,2022
สามเหลี่ยมดินแดง,ราชปรารภ,16:00-19:00,5,3304.6666666666665,2199.0,66.54226346580593,2022
สามเหลี่ยมดินแดง,ราชวิถี,07:00-09:00,5,1087.0,850.0,78.196872125115,2022
สามเหลี่ยมดินแดง,ราชวิถี,09:00-16:00,5,1027.2857142857142,699.8571428571429,68.12682519816437,2022
สามเหลี่ยมดินแดง,ราชวิถี,16:00-19:00,5,1188.0,1301.0,109.51178451178451,2022
เทอดดำริ,ประดิพัทธ์,07:00-09:00,3,1344.5,1321.0,98.25213834139085,2022
เทอดดำริ,ประดิพัทธ์,09:00-16:00,3,1046.142857142857,1313.571428571429,125.56329373207704,2022
เทอดดำริ,ประดิพัทธ์,16:00-19:00,3,1055.3333333333333,1334.3333333333333,126.4371446620341,2022
