source_excel_row,id,survey_date,Date,month,year,covid_period,intersection,road,period,time_period,passenger_car,pickup_van,large_bus,small_bus,truck,tuk_tuk,Unnamed: 16,Unnamed: 17,source_sha256,source_sheet,intersection_key,road_key,report_day,report_month,report_year,report_date,survey_date_parsed,survey_month,survey_year,report_quarter,start_time,end_time,period_hours,time_key,passenger_car_clean,passenger_car_zero_assumed,pickup_van_clean,pickup_van_zero_assumed,large_bus_clean,large_bus_zero_assumed,small_bus_clean,small_bus_zero_assumed,truck_clean,truck_zero_assumed,tuk_tuk_clean,tuk_tuk_zero_assumed,has_assumed_zero,numeric_unresolved,numeric_negative,numeric_fractional,exact_repeat,repeated_survey_key,repeated_report_key,candidate_eligible,vehicle_total,vehicles_per_hour
93,92,16/3/2017,16,3,2017,ก่อนโควิด,เกษมราษฎร์,พระรามที่ 4,นอกเร่งด่วน,นอกเร่งด่วน (09:00-16:00),18611,6549,350,7,246,361,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,เกษมราษฎร์,พระรามที่ 4,16,3,2017,2017-03-16,2017-03-16,3,2017,1,09:00,16:00,7.0,09:00-16:00,18611.0,False,6549.0,False,350.0,False,7,False,246,False,361,False,False,False,False,False,False,False,False,True,26124.0,3732.0
94,93,16/3/2017,16,3,2017,ก่อนโควิด,เกษมราษฎร์,พระรามที่ 4,เร่งด่วนเย็น,เร่งด่วนเย็น (16:00-19:00),8491,2696,147,1,61,140,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,เกษมราษฎร์,พระรามที่ 4,16,3,2017,2017-03-16,2017-03-16,3,2017,1,16:00,19:00,3.0,16:00-19:00,8491.0,False,2696.0,False,147.0,False,1,False,61,False,140,False,False,False,False,False,False,False,False,True,11536.0,3845.3333333333335
95,94,17/3/2017,17,3,2017,ก่อนโควิด,หัวลำโพง,มหาพฤฒาราม,เร่งด่วนเช้า,เร่งด่วนเช้า (07:00-09:00),731,162,23,21,8,22,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,หัวลำโพง,มหาพฤฒาราม,17,3,2017,2017-03-17,2017-03-17,3,2017,1,07:00,09:00,2.0,07:00-09:00,731.0,False,162.0,False,23.0,False,21,False,8,False,22,False,False,False,False,False,False,False,False,True,967.0,483.5
98,97,17/3/2017,17,3,2017,ก่อนโควิด,หัวลำโพง,พระรามที่ 4,เร่งด่วนเช้า,เร่งด่วนเช้า (07:00-09:00),5849,1647,245,45,35,156,0,พระรามที่ 4,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,หัวลำโพง,พระรามที่ 4,17,3,2017,2017-03-17,2017-03-17,3,2017,1,07:00,09:00,2.0,07:00-09:00,5849.0,False,1647.0,False,245.0,False,45,False,35,False,156,False,False,False,False,False,False,False,False,True,7977.0,3988.5
101,100,20/3/2017,20,3,2017,ก่อนโควิด,อุณากรรณ,อุณากรรณ,เร่งด่วนเช้า,เร่งด่วนเช้า (07:00-09:00),826,99,51,33,4,121,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,อุณากรรณ,อุณากรรณ,20,3,2017,2017-03-20,2017-03-20,3,2017,1,07:00,09:00,2.0,07:00-09:00,826.0,False,99.0,False,51.0,False,33,False,4,False,121,False,False,False,False,False,False,False,False,True,1134.0,567.0
104,103,20/3/2017,20,3,2017,ก่อนโควิด,อุณากรรณ,เจริญกรุง,เร่งด่วนเช้า,เร่งด่วนเช้า (07:00-09:00),1213,418,86,81,6,175,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,อุณากรรณ,เจริญกรุง,20,3,2017,2017-03-20,2017-03-20,3,2017,1,07:00,09:00,2.0,07:00-09:00,1213.0,False,418.0,False,86.0,False,81,False,6,False,175,False,False,False,False,False,False,False,False,True,1979.0,989.5
113,112,22/3/2017,22,3,2017,ก่อนโควิด,บุคคโล,เจริญนคร,เร่งด่วนเช้า,เร่งด่วนเช้า (07:00-09:00),4555,1726,60,42,69,54,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,บุคคโล,เจริญนคร,22,3,2017,2017-03-22,2017-03-22,3,2017,1,07:00,09:00,2.0,07:00-09:00,4555.0,False,1726.0,False,60.0,False,42,False,69,False,54,False,False,False,False,False,False,False,False,True,6506.0,3253.0
116,115,22/3/2017,22,3,2017,ก่อนโควิด,บุคคโล,มไหสวรรย์,เร่งด่วนเช้า,เร่งด่วนเช้า (07:00-09:00),3208,966,112,45,35,48,0,มไหสวรรย์,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,บุคคโล,มไหสวรรย์,22,3,2017,2017-03-22,2017-03-22,3,2017,1,07:00,09:00,2.0,07:00-09:00,3208.0,False,966.0,False,112.0,False,45,False,35,False,48,False,False,False,False,False,False,False,False,True,4414.0,2207.0
134,133,28/3/2017,28,3,2017,ก่อนโควิด,สุทธิสาร,รัชดาภิเษก,เร่งด่วนเช้า,เร่งด่วนเช้า (07:00-09:00),9888,2116,128,0,30,25,0,รัชดาภิเษก,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,สุทธิสาร,รัชดาภิเษก,28,3,2017,2017-03-28,2017-03-28,3,2017,1,07:00,09:00,2.0,07:00-09:00,9888.0,False,2116.0,False,128.0,False,0,False,30,False,25,False,False,False,False,False,False,False,False,True,12187.0,6093.5
135,134,28/3/2017,28,3,2017,ก่อนโควิด,สุทธิสาร,รัชดาภิเษก,นอกเร่งด่วน,นอกเร่งด่วน (09:00-16:00),27083,8007,360,1,298,84,0,รัชดาภิเษก,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,สุทธิสาร,รัชดาภิเษก,28,3,2017,2017-03-28,2017-03-28,3,2017,1,09:00,16:00,7.0,09:00-16:00,27083.0,False,8007.0,False,360.0,False,1,False,298,False,84,False,False,False,False,False,False,False,False,True,35833.0,5119.0
