source_excel_row,id,survey_date,Date,month,year,Lockdown,Not Lockdown,covid_period,intersection,road,period,time_period,passenger_car,pickup_van,large_bus,small_bus,truck,tuk_tuk,source_sha256,source_sheet,intersection_key,road_key,report_day,report_month,report_year,report_date,survey_date_parsed,survey_month,survey_year,report_quarter,start_time,end_time,period_hours,time_key,passenger_car_clean,passenger_car_zero_assumed,pickup_van_clean,pickup_van_zero_assumed,large_bus_clean,large_bus_zero_assumed,small_bus_clean,small_bus_zero_assumed,truck_clean,truck_zero_assumed,tuk_tuk_clean,tuk_tuk_zero_assumed,has_assumed_zero,numeric_unresolved,numeric_negative,numeric_fractional,exact_repeat,repeated_survey_key,repeated_report_key,candidate_eligible
1903,1902,18/4/2018,18,4,2018,0,1,ก่อนโควิด,รามคำแหง-วงแหวนตะวันออก,วงแหวนตะวันออก,เร่งด่วนเย็น,เร่งด่วนเย็น ( 16:00-19:00 ),3769.0,2255.0,3.0,0,32,0,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,รามคำแหง-วงแหวนตะวันออก,วงแหวนตะวันออก,18,4,2018,2018-04-18,2018-04-18,4,2018,2,16:00,19:00,3.0,16:00-19:00,3769.0,False,2255.0,False,3.0,False,0,False,32,False,0,False,False,False,False,False,False,True,True,False
1904,1903,18/4/2018,18,4,2018,0,1,ก่อนโควิด,รามคำแหง-วงแหวนตะวันออก,รามคำแหง,เร่งด่วนเช้า,เร่งด่วนเช้า ( 07.00-09.00 ),7745.0,2573.0,94.0,0,28,10,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,รามคำแหง-วงแหวนตะวันออก,รามคำแหง,18,4,2018,2018-04-18,2018-04-18,4,2018,2,07:00,09:00,2.0,07:00-09:00,7745.0,False,2573.0,False,94.0,False,0,False,28,False,10,False,False,False,False,False,False,True,True,False
1905,1904,18/4/2018,18,4,2018,0,1,ก่อนโควิด,รามคำแหง-วงแหวนตะวันออก,รามคำแหง,นอกเร่งด่วน,นอกเร่งด่วน ( 09.00-16.00 ),21848.0,8771.0,358.0,0,461,35,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,รามคำแหง-วงแหวนตะวันออก,รามคำแหง,18,4,2018,2018-04-18,2018-04-18,4,2018,2,09:00,16:00,7.0,09:00-16:00,21848.0,False,8771.0,False,358.0,False,0,False,461,False,35,False,False,False,False,False,False,True,True,False
1906,1905,18/4/2018,18,4,2018,0,1,ก่อนโควิด,รามคำแหง-วงแหวนตะวันออก,รามคำแหง,เร่งด่วนเย็น,เร่งด่วนเย็น ( 16:00-19:00 ),9236.0,3511.0,127.0,2,62,4,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,รามคำแหง-วงแหวนตะวันออก,รามคำแหง,18,4,2018,2018-04-18,2018-04-18,4,2018,2,16:00,19:00,3.0,16:00-19:00,9236.0,False,3511.0,False,127.0,False,2,False,62,False,4,False,False,False,False,False,False,True,True,False
4975,4974,10/1/2020,10,1,2020,0,1,โควิด,บางกระบือ,อำนวยสงคราม,นอกเร่งด่วน,นอกเร่งด่วน ( 09.00-16.00 ),1843.0,602.0,5.0,0,25,51,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,บางกระบือ,อำนวยสงคราม,10,1,2020,2020-01-10,2020-01-10,1,2020,1,09:00,16:00,7.0,09:00-16:00,1843.0,False,602.0,False,5.0,False,0,False,25,False,51,False,False,False,False,False,False,True,True,False
4976,4975,10/1/2020,10,1,2020,0,1,โควิด,บางกระบือ,อำนวยสงคราม,นอกเร่งด่วน,นอกเร่งด่วน ( 09.00-16.00 ),2554.0,1118.0,59.0,0,172,18,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,บางกระบือ,อำนวยสงคราม,10,1,2020,2020-01-10,2020-01-10,1,2020,1,09:00,16:00,7.0,09:00-16:00,2554.0,False,1118.0,False,59.0,False,0,False,172,False,18,False,False,False,False,False,False,True,True,False
4994,4993,15/1/2020,15,1,2020,0,1,โควิด,พรานนก,พรานนก,เร่งด่วนเย็น,เร่งด่วนเย็น ( 16:00-19:30 ),4581.0,1282.0,111.0,20,27,423,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,พรานนก,พรานนก,15,1,2020,2020-01-15,2020-01-15,1,2020,1,16:00,19:30,3.5,16:00-19:30,4581.0,False,1282.0,False,111.0,False,20,False,27,False,423,False,False,False,False,False,False,True,True,False
4995,4994,15/1/2020,15,1,2020,0,1,โควิด,พรานนก,พรานนก,เร่งด่วนเย็น,เร่งด่วนเย็น ( 16:00-19:30 ),7091.0,1926.0,45.0,0,43,293,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,พรานนก,พรานนก,15,1,2020,2020-01-15,2020-01-15,1,2020,1,16:00,19:30,3.5,16:00-19:30,7091.0,False,1926.0,False,45.0,False,0,False,43,False,293,False,False,False,False,False,False,True,True,False
4998,4997,15/1/2020,15,1,2020,0,1,โควิด,พรานนก,พรานนก,นอกเร่งด่วน,นอกเร่งด่วน ( 09.00-16.00 ),10559.0,2722.0,282.0,67,107,695,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,พรานนก,พรานนก,15,1,2020,2020-01-15,2020-01-15,1,2020,1,09:00,16:00,7.0,09:00-16:00,10559.0,False,2722.0,False,282.0,False,67,False,107,False,695,False,False,False,False,False,False,True,True,False
4999,4998,15/1/2020,15,1,2020,0,1,โควิด,พรานนก,พรานนก,นอกเร่งด่วน,นอกเร่งด่วน ( 09.00-16.00 ),17887.0,5282.0,288.0,0,224,615,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,พรานนก,พรานนก,15,1,2020,2020-01-15,2020-01-15,1,2020,1,09:00,16:00,7.0,09:00-16:00,17887.0,False,5282.0,False,288.0,False,0,False,224,False,615,False,False,False,False,False,False,True,True,False
5005,5004,20/1/2020,20,1,2020,0,1,โควิด,พาณิชยการ,พิษณุโลก,เร่งด่วนเย็น,เร่งด่วนเย็น ( 16:00-19:30 ),4841.0,996.0,130.0,1,30,88,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,พาณิชยการ,พิษณุโลก,20,1,2020,2020-01-20,2020-01-20,1,2020,1,16:00,19:30,3.5,16:00-19:30,4841.0,False,996.0,False,130.0,False,1,False,30,False,88,False,False,False,False,False,False,True,True,False
5006,5005,20/1/2020,20,1,2020,0,1,โควิด,พาณิชยการ,พิษณุโลก,เร่งด่วนเย็น,เร่งด่วนเย็น ( 16:00-19:30 ),1753.0,599.0,37.0,25,19,402,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,พาณิชยการ,พิษณุโลก,20,1,2020,2020-01-20,2020-01-20,1,2020,1,16:00,19:30,3.5,16:00-19:30,1753.0,False,599.0,False,37.0,False,25,False,19,False,402,False,False,False,False,False,False,True,True,False
5009,5008,20/1/2020,20,1,2020,0,1,โควิด,พาณิชยการ,พิษณุโลก,นอกเร่งด่วน,นอกเร่งด่วน ( 09.00-16.00 ),9759.0,2495.0,335.0,0,177,254,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,พาณิชยการ,พิษณุโลก,20,1,2020,2020-01-20,2020-01-20,1,2020,1,09:00,16:00,7.0,09:00-16:00,9759.0,False,2495.0,False,335.0,False,0,False,177,False,254,False,False,False,False,False,False,True,True,False
5010,5009,20/1/2020,20,1,2020,0,1,โควิด,พาณิชยการ,พิษณุโลก,นอกเร่งด่วน,นอกเร่งด่วน ( 09.00-16.00 ),3572.0,1154.0,89.0,64,56,1097,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,พาณิชยการ,พิษณุโลก,20,1,2020,2020-01-20,2020-01-20,1,2020,1,09:00,16:00,7.0,09:00-16:00,3572.0,False,1154.0,False,89.0,False,64,False,56,False,1097,False,False,False,False,False,False,True,True,False
5014,5013,22/1/2020,22,1,2020,0,1,โควิด,ศูนย์วิจัย-เพชรบุรี,ราชดำเนินกลาง,เร่งด่วนเช้า,เร่งด่วนเช้า ( 06.30-09.00 ),6865.0,1362.0,523.0,78,59,248,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,ศูนย์วิจัย-เพชรบุรี,ราชดำเนินกลาง,22,1,2020,2020-01-22,2020-01-22,1,2020,1,06:30,09:00,2.5,06:30-09:00,6865.0,False,1362.0,False,523.0,False,78,False,59,False,248,False,False,False,False,False,False,True,True,False
5015,5014,22/1/2020,22,1,2020,0,1,โควิด,ศูนย์วิจัย-เพชรบุรี,ราชดำเนินกลาง,เร่งด่วนเช้า,เร่งด่วนเช้า ( 06.30-09.00 ),7169.0,1449.0,429.0,5,31,103,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,ศูนย์วิจัย-เพชรบุรี,ราชดำเนินกลาง,22,1,2020,2020-01-22,2020-01-22,1,2020,1,06:30,09:00,2.5,06:30-09:00,7169.0,False,1449.0,False,429.0,False,5,False,31,False,103,False,False,False,False,False,False,True,True,False
5017,5016,22/1/2020,22,1,2020,0,1,โควิด,ศูนย์วิจัย-เพชรบุรี,เพชรบุรี,เร่งด่วนเย็น,เร่งด่วนเย็น ( 16:00-19:30 ),8570.0,2393.0,181.0,1,65,23,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,ศูนย์วิจัย-เพชรบุรี,เพชรบุรี,22,1,2020,2020-01-22,2020-01-22,1,2020,1,16:00,19:30,3.5,16:00-19:30,8570.0,False,2393.0,False,181.0,False,1,False,65,False,23,False,False,False,False,False,False,True,True,False
5018,5017,22/1/2020,22,1,2020,0,1,โควิด,ศูนย์วิจัย-เพชรบุรี,เพชรบุรี,เร่งด่วนเย็น,เร่งด่วนเย็น ( 16:00-19:30 ),1785.0,281.0,45.0,38,15,82,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,ศูนย์วิจัย-เพชรบุรี,เพชรบุรี,22,1,2020,2020-01-22,2020-01-22,1,2020,1,16:00,19:30,3.5,16:00-19:30,1785.0,False,281.0,False,45.0,False,38,False,15,False,82,False,False,False,False,False,False,True,True,False
5019,5018,22/1/2020,22,1,2020,0,1,โควิด,ศูนย์วิจัย-เพชรบุรี,ราชดำเนินกลาง,เร่งด่วนเย็น,เร่งด่วนเย็น ( 16:00-19:30 ),8298.0,2392.0,598.0,68,94,639,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,ศูนย์วิจัย-เพชรบุรี,ราชดำเนินกลาง,22,1,2020,2020-01-22,2020-01-22,1,2020,1,16:00,19:30,3.5,16:00-19:30,8298.0,False,2392.0,False,598.0,False,68,False,94,False,639,False,False,False,False,False,False,True,True,False
5020,5019,22/1/2020,22,1,2020,0,1,โควิด,ศูนย์วิจัย-เพชรบุรี,ราชดำเนินกลาง,เร่งด่วนเย็น,เร่งด่วนเย็น ( 16:00-19:30 ),1585.0,393.0,66.0,44,11,168,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,ศูนย์วิจัย-เพชรบุรี,ราชดำเนินกลาง,22,1,2020,2020-01-22,2020-01-22,1,2020,1,16:00,19:30,3.5,16:00-19:30,1585.0,False,393.0,False,66.0,False,44,False,11,False,168,False,False,False,False,False,False,True,True,False
5021,5020,22/1/2020,22,1,2020,0,1,โควิด,ศูนย์วิจัย-เพชรบุรี,ราชดำเนินกลาง,เร่งด่วนเย็น,เร่งด่วนเย็น ( 16:00-19:30 ),10466.0,2748.0,525.0,2,154,468,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,ศูนย์วิจัย-เพชรบุรี,ราชดำเนินกลาง,22,1,2020,2020-01-22,2020-01-22,1,2020,1,16:00,19:30,3.5,16:00-19:30,10466.0,False,2748.0,False,525.0,False,2,False,154,False,468,False,False,False,False,False,False,True,True,False
5023,5022,22/1/2020,22,1,2020,0,1,โควิด,ศูนย์วิจัย-เพชรบุรี,เพชรบุรี,นอกเร่งด่วน,นอกเร่งด่วน ( 09.00-16.00 ),19070.0,6651.0,592.0,1,589,83,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,ศูนย์วิจัย-เพชรบุรี,เพชรบุรี,22,1,2020,2020-01-22,2020-01-22,1,2020,1,09:00,16:00,7.0,09:00-16:00,19070.0,False,6651.0,False,592.0,False,1,False,589,False,83,False,False,False,False,False,False,True,True,False
5024,5023,22/1/2020,22,1,2020,0,1,โควิด,ศูนย์วิจัย-เพชรบุรี,เพชรบุรี,นอกเร่งด่วน,นอกเร่งด่วน ( 09.00-16.00 ),3387.0,1138.0,92.0,80,26,249,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,ศูนย์วิจัย-เพชรบุรี,เพชรบุรี,22,1,2020,2020-01-22,2020-01-22,1,2020,1,09:00,16:00,7.0,09:00-16:00,3387.0,False,1138.0,False,92.0,False,80,False,26,False,249,False,False,False,False,False,False,True,True,False
5025,5024,22/1/2020,22,1,2020,0,1,โควิด,ศูนย์วิจัย-เพชรบุรี,ราชดำเนินกลาง,นอกเร่งด่วน,นอกเร่งด่วน ( 09.00-16.00 ),20869.0,6820.0,2236.0,236,531,1275,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,ศูนย์วิจัย-เพชรบุรี,ราชดำเนินกลาง,22,1,2020,2020-01-22,2020-01-22,1,2020,1,09:00,16:00,7.0,09:00-16:00,20869.0,False,6820.0,False,2236.0,False,236,False,531,False,1275,False,False,False,False,False,False,True,True,False
5026,5025,22/1/2020,22,1,2020,0,1,โควิด,ศูนย์วิจัย-เพชรบุรี,ราชดำเนินกลาง,นอกเร่งด่วน,นอกเร่งด่วน ( 09.00-16.00 ),4027.0,1130.0,170.0,178,35,525,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,ศูนย์วิจัย-เพชรบุรี,ราชดำเนินกลาง,22,1,2020,2020-01-22,2020-01-22,1,2020,1,09:00,16:00,7.0,09:00-16:00,4027.0,False,1130.0,False,170.0,False,178,False,35,False,525,False,False,False,False,False,False,True,True,False
5027,5026,22/1/2020,22,1,2020,0,1,โควิด,ศูนย์วิจัย-เพชรบุรี,ราชดำเนินกลาง,นอกเร่งด่วน,นอกเร่งด่วน ( 09.00-16.00 ),27958.0,7035.0,2223.0,25,378,909,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,ศูนย์วิจัย-เพชรบุรี,ราชดำเนินกลาง,22,1,2020,2020-01-22,2020-01-22,1,2020,1,09:00,16:00,7.0,09:00-16:00,27958.0,False,7035.0,False,2223.0,False,25,False,378,False,909,False,False,False,False,False,False,True,True,False
5477,5476,10/7/2020,10,7,2020,0,1,โควิด,อนุสาวรีย์ชัยสมรภูมิ(ขาออก),ราชวิถี,เร่งด่วนเย็น,เร่งด่วนเย็น ( 16:00-19:00 ),8506.0,2218.0,324.0,116,57,50,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,อนุสาวรีย์ชัยสมรภูมิ(ขาออก),ราชวิถี,10,7,2020,2020-07-10,2020-07-10,7,2020,3,16:00,19:00,3.0,16:00-19:00,8506.0,False,2218.0,False,324.0,False,116,False,57,False,50,False,False,False,False,False,False,True,True,False
5480,5479,10/7/2020,10,7,2020,0,1,โควิด,อนุสาวรีย์ชัยสมรภูมิ(ขาออก),ราชวิถี,เร่งด่วนเย็น,เร่งด่วนเย็น ( 16:00-19:00 ),8356.0,1927.0,280.0,67,35,29,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,อนุสาวรีย์ชัยสมรภูมิ(ขาออก),ราชวิถี,10,7,2020,2020-07-10,2020-07-10,7,2020,3,16:00,19:00,3.0,16:00-19:00,8356.0,False,1927.0,False,280.0,False,67,False,35,False,29,False,False,False,False,False,False,True,True,False
7276,7275,19/7/2021,19,7,2021,1,0,โควิด,ซอยนราธิวาสราชนครนิทร์26,นราธิวาสราชนครินทร์,เร่งด่วนเช้า,เร่งด่วนเช้า ( 07.00-09.00 ),1420.0,382.0,20.0,10,13,12,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,ซอยนราธิวาสราชนครนิทร์26,นราธิวาสราชนครินทร์,19,7,2021,2021-07-19,2021-07-19,7,2021,3,07:00,09:00,2.0,07:00-09:00,1420.0,False,382.0,False,20.0,False,10,False,13,False,12,False,False,False,False,False,False,True,True,False
7277,7276,19/7/2021,19,7,2021,1,0,โควิด,ซอยนราธิวาสราชนครนิทร์26,นราธิวาสราชนครินทร์,เร่งด่วนเช้า,เร่งด่วนเช้า ( 07.00-09.00 ),2518.0,710.0,74.0,4,41,32,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,ซอยนราธิวาสราชนครนิทร์26,นราธิวาสราชนครินทร์,19,7,2021,2021-07-19,2021-07-19,7,2021,3,07:00,09:00,2.0,07:00-09:00,2518.0,False,710.0,False,74.0,False,4,False,41,False,32,False,False,False,False,False,False,True,True,False
7281,7280,19/7/2021,19,7,2021,1,0,โควิด,ซอยนราธิวาสราชนครนิทร์26,นราธิวาสราชนครินทร์,เร่งด่วนเย็น,เร่งด่วนเย็น ( 16:00-19:00 ),2273.0,456.0,18.0,13,10,13,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,ซอยนราธิวาสราชนครนิทร์26,นราธิวาสราชนครินทร์,19,7,2021,2021-07-19,2021-07-19,7,2021,3,16:00,19:00,3.0,16:00-19:00,2273.0,False,456.0,False,18.0,False,13,False,10,False,13,False,False,False,False,False,False,True,True,False
7282,7281,19/7/2021,19,7,2021,1,0,โควิด,ซอยนราธิวาสราชนครนิทร์26,นราธิวาสราชนครินทร์,เร่งด่วนเย็น,เร่งด่วนเย็น ( 16:00-19:00 ),3573.0,1163.0,106.0,4,79,22,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,ซอยนราธิวาสราชนครนิทร์26,นราธิวาสราชนครินทร์,19,7,2021,2021-07-19,2021-07-19,7,2021,3,16:00,19:00,3.0,16:00-19:00,3573.0,False,1163.0,False,106.0,False,4,False,79,False,22,False,False,False,False,False,False,True,True,False
7286,7285,19/7/2021,19,7,2021,1,0,โควิด,ซอยนราธิวาสราชนครนิทร์26,นราธิวาสราชนครินทร์,นอกเร่งด่วน,นอกเร่งด่วน ( 09.00-16.00 ),5029.0,1572.0,66.0,31,65,43,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,ซอยนราธิวาสราชนครนิทร์26,นราธิวาสราชนครินทร์,19,7,2021,2021-07-19,2021-07-19,7,2021,3,09:00,16:00,7.0,09:00-16:00,5029.0,False,1572.0,False,66.0,False,31,False,65,False,43,False,False,False,False,False,False,True,True,False
7287,7286,19/7/2021,19,7,2021,1,0,โควิด,ซอยนราธิวาสราชนครนิทร์26,นราธิวาสราชนครินทร์,นอกเร่งด่วน,นอกเร่งด่วน ( 09.00-16.00 ),7239.0,3155.0,262.0,14,351,63,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,ซอยนราธิวาสราชนครนิทร์26,นราธิวาสราชนครินทร์,19,7,2021,2021-07-19,2021-07-19,7,2021,3,09:00,16:00,7.0,09:00-16:00,7239.0,False,3155.0,False,262.0,False,14,False,351,False,63,False,False,False,False,False,False,True,True,False
7412,7411,3/8/2021,3,8,2021,1,0,โควิด,หน้าแมคโคร,นราธิวาส,เร่งด่วนเช้า,เร่งด่วนเช้า ( 07.00-09.00 ),3877.0,918.0,34.0,31,40,34,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,หน้าแมคโคร,นราธิวาส,3,8,2021,2021-08-03,2021-08-03,8,2021,3,07:00,09:00,2.0,07:00-09:00,3877.0,False,918.0,False,34.0,False,31,False,40,False,34,False,False,False,False,False,False,True,True,False
