source_excel_row,covid_period,intersection,road,report_year,report_month,report_day,survey_date_parsed,time_key,has_assumed_zero
6436,โควิด,นราธิวาส-สุรวงศ์,สุรวงศ์,2021,2,5,2021-02-05,09:00-16:00,False
6438,โควิด,ลาซาล,สุขุมวิท,2021,2,8,2021-02-08,07:00-09:00,False
6445,โควิด,สุขุมวิท24,สุขุมวิท,2021,2,9,2021-02-09,07:00-09:00,False
6451,โควิด,วัดสน,สุขสวัสดิ์,2021,2,10,2021-02-10,07:00-09:00,False
6453,โควิด,วัดสน,สุขสวัสดิ์,2021,2,10,2021-02-10,16:00-19:00,False
6455,โควิด,วัดสน,สุขสวัสดิ์,2021,2,10,2021-02-10,09:00-16:00,False
6456,โควิด,ประชาธรรม,ประดิษฐ์มนูธรรม,2021,2,11,2021-02-11,07:00-09:00,False
6457,โควิด,ประชาธรรม,ประชาอุทิศ,2021,2,11,2021-02-11,07:00-09:00,False
6462,โควิด,ราชวัตร,พระรามที่5,2021,2,15,2021-02-15,07:00-09:00,False
6463,โควิด,ราชวัตร,นครไชยศรี,2021,2,15,2021-02-15,07:00-09:00,False
6468,โควิด,เฉลิมเผ่า,อังรีดูนังต์,2021,2,16,2021-02-16,07:00-09:00,False
6469,โควิด,เฉลิมเผ่า,พระรามที่1,2021,2,16,2021-02-16,07:00-09:00,False
6470,โควิด,เฉลิมเผ่า,อังรีดูนังต์,2021,2,16,2021-02-16,16:00-19:00,False
6472,โควิด,เฉลิมเผ่า,อังรีดูนังต์,2021,2,16,2021-02-16,09:00-16:00,False
6477,โควิด,โพธิ์สามต้น,อิสรภาพ,2021,2,17,2021-02-17,07:00-09:00,False
6478,โควิด,โพธิ์สามต้น,วังเดิม,2021,2,17,2021-02-17,07:00-09:00,False
6483,โควิด,จันทน์-นราธิวาส,นราธิวาสราชนครินทร์,2021,2,18,2021-02-18,07:00-09:00,False
6484,โควิด,จันทน์-นราธิวาส,จันทน์,2021,2,18,2021-02-18,07:00-09:00,False
6485,โควิด,จันทน์-นราธิวาส,นราธิวาสราชนครินทร์,2021,2,18,2021-02-18,16:00-19:00,False
6486,โควิด,จันทน์-นราธิวาส,จันทน์,2021,2,18,2021-02-18,16:00-19:00,False
6487,โควิด,จันทน์-นราธิวาส,นราธิวาสราชนครินทร์,2021,2,18,2021-02-18,09:00-16:00,False
6488,โควิด,จันทน์-นราธิวาส,จันทน์,2021,2,18,2021-02-18,09:00-16:00,False
6489,โควิด,ประชาเกษม,ประชาธิปไตย,2021,2,19,2021-02-19,07:00-09:00,False
6490,โควิด,ประชาเกษม,นครราชสีมา,2021,2,19,2021-02-19,07:00-09:00,False
6491,โควิด,ประชาเกษม,กรุงเกษม,2021,2,19,2021-02-19,07:00-09:00,False
6498,โควิด,ราชวงศ์,ราชวงศ์,2021,2,22,2021-02-22,07:00-09:00,False
6499,โควิด,ราชวงศ์,เยาวราช,2021,2,22,2021-02-22,07:00-09:00,False
6510,โควิด,พระรามที่3-ยานนาวา,พระรามที่3,2021,2,23,2021-02-23,07:00-09:00,False
6511,โควิด,พระรามที่3-ยานนาวา,ยานนาวา,2021,2,23,2021-02-23,07:00-09:00,False
6512,โควิด,พระรามที่3-ยานนาวา,พระรามที่3,2021,2,23,2021-02-23,16:00-19:00,False
6513,โควิด,พระรามที่3-ยานนาวา,ยานนาวา,2021,2,23,2021-02-23,16:00-19:00,False
6514,โควิด,พระรามที่3-ยานนาวา,พระรามที่3,2021,2,23,2021-02-23,09:00-16:00,False
6515,โควิด,พระรามที่3-ยานนาวา,ยานนาวา,2021,2,23,2021-02-23,09:00-16:00,False
6516,โควิด,ลาดปลาเค้า,ลาดปลาเค้า,2021,2,24,2021-02-24,07:00-09:00,False
6517,โควิด,ลาดปลาเค้า,รามอินทรา,2021,2,24,2021-02-24,07:00-09:00,False
6518,โควิด,ลาดปลาเค้า,ลาดปลาเค้า,2021,2,24,2021-02-24,16:00-19:00,False
6519,โควิด,ลาดปลาเค้า,รามอินทรา,2021,2,24,2021-02-24,16:00-19:00,False
