intersection_key,road_key,time_key,report_quarter,Before,During,After
พัฒนาการ,พัฒนาการ,07:00-09:00,2,3219.0,3495.5,3707.5
พัฒนาการ,ศรีนครินทร์,07:00-09:00,2,4027.0,4400.0,5039.5
พุทธมณฑลสาย 2,พุทธมณฑลสาย 2,07:00-09:00,2,883.5,672.5,899.5
พุทธมณฑลสาย 2,พุทธมณฑลสาย 2,09:00-16:00,2,1028.0,828.1428571428571,715.1428571428571
พุทธมณฑลสาย 2,พุทธมณฑลสาย 2,16:00-19:00,2,857.6666666666666,793.0,879.0
พุทธมณฑลสาย 2,เพชรเกษม,07:00-09:00,2,7094.0,6800.5,7161.5
พุทธมณฑลสาย 2,เพชรเกษม,09:00-16:00,2,6630.714285714285,6585.142857142857,6148.714285714285
พุทธมณฑลสาย 2,เพชรเกษม,16:00-19:00,2,7740.333333333333,6806.666666666667,5990.666666666667
ยุคล 2,ยุคล 2,07:00-09:00,4,419.0,317.0,334.5
ราชดำริ,ราชดำริ,07:00-09:00,2,2356.5,2300.0,2071.5
ราชดำริ,สารสิน,07:00-09:00,2,857.75,501.5,1390.5
รามคำแหง,พระราม 9,07:00-09:00,3,7679.0,5951.0,6286.5
รามคำแหง,พระราม 9,09:00-16:00,3,7184.571428571428,6400.857142857143,7777.714285714285
รามคำแหง,พระราม 9,16:00-19:00,3,7051.666666666667,6454.0,8041.666666666667
รามคำแหง,รามคำแหง,07:00-09:00,3,3827.5,4380.5,3702.75
รามคำแหง,รามคำแหง,09:00-16:00,3,3351.5714285714284,2865.285714285714,2934.714285714286
รามคำแหง,รามคำแหง,16:00-19:00,3,3395.3333333333335,2784.0,3570.0
วัดสน,สุขสวัสดิ์,07:00-09:00,1,4756.5,6327.0,4989.0
ศรีอยุธยา,พระรามที่ 6,07:00-09:00,4,4222.5,2638.5,2991.0
ศรีอยุธยา,ศรีอยุธยา,07:00-09:00,4,3675.0,3609.5,3150.0
สะพานควาย,ประดิพัทธ์,07:00-09:00,3,1052.5,1043.0,718.5
สะพานควาย,พหลโยธิน,07:00-09:00,3,2770.0,3657.0,2261.5
สะพานควาย,สุทธิสาร,07:00-09:00,3,1079.5,730.0,768.0
สาธุประดิษฐ์,สาธุประดิษฐ์,09:00-16:00,2,617.5714285714286,637.2857142857143,427.7142857142857
สามเสน,นครไชยศรี,07:00-09:00,4,967.0,1013.0,932.5
สามเสน,สวรรคโลก,07:00-09:00,4,842.5,1200.5,823.5
สามเสน,เทอดดำริ,07:00-09:00,4,847.0,890.0,849.5
หมอมี,พระรามที่ 4,07:00-09:00,4,524.0,356.5,683.0
หมอมี,เจริญกรุง,07:00-09:00,4,2420.5,1324.5,945.5
หลักสี่,กำแพงเพชร 6,07:00-09:00,2,2130.5,918.5,1049.0
หลักสี่,แจ้งวัฒนะ,07:00-09:00,2,2962.0,2121.5,2450.0
หัวลำโพง,พระรามที่ 4,07:00-09:00,1,3988.5,2285.0,4635.5
หัวลำโพง,มหาพฤฒาราม,07:00-09:00,1,483.5,431.0,1051.0
ห้วยขวาง,รัชดาภิเษก,07:00-09:00,4,6290.5,5827.0,6047.5
อนามัย,พลับพลาไชย,07:00-09:00,4,879.0,830.0,505.0
อุรุพงษ์,พระรามที่ 6,07:00-09:00,2,4112.5,1576.5,2305.5
อุรุพงษ์,เพชรบุรี,07:00-09:00,2,4077.5,2045.5,2172.0
เกษมราษฎร์,พระรามที่ 4,07:00-09:00,2,3536.5,3091.5,3436.5
เกษมราษฎร์,พระรามที่ 4,09:00-16:00,2,4038.5714285714284,3402.8571428571427,3687.1428571428573
เกษมราษฎร์,พระรามที่ 4,16:00-19:00,2,4150.0,3558.6666666666665,4083.6666666666665
เกษมราษฎร์,เกษมราษฎร์,09:00-16:00,2,548.1428571428571,546.0,727.5714285714286
เตาปูน,ประชาราษฎร์สาย 2,07:00-09:00,3,1682.5,1041.0,1735.0
