intersection_key,road_key,During,After
มไหสวรรย์,มไหสวรรย์,22.58486963585345,-4.326699430367341
รัชดา - ลาดพร้าว,รัชดาภิเษก,8.438077742420731,32.05389677341945
รัชโยธิน,พหลโยธิน,-1.9160824078439873,49.24777461310188
ราชประสงค์,เพลินจิต,-15.021860362873284,4.7679577069021235
ราชวิถี,พระรามที่ 5,4.335424037287979,-10.466130033917722
ราชวิถี,ราชวิถี,-10.980371339686926,25.916399190163446
รามคำแหง,พระราม 9,14.027392371075635,26.280411460207148
รามคำแหง,รามคำแหง,-32.45317820094256,13.387294172929558
ราษฎร์บูรณะ,ราษฎร์บูรณะ,-41.94237048194125,-11.74537458567577
ลาดปลาเค้า,รามอินทรา,-8.126497364038144,2.763839000539207
ลาดปลาเค้า,ลาดปลาเค้า,38.48466935670412,31.064608628925384
วัดดวงแข,จารุเมือง,33.31798703474827,47.5542865954948
วัดดวงแข,เจริญเมือง,3.705515302691566,20.766274139127496
วัดสน,สุขสวัสดิ์,-1.7255749981799227,18.678666274259925
วัดเทพลีลา,รามคำแหง,10.748011700352578,-3.5912753438643534
วิทยุ,พระรามที่ 4,2.0521117606583203,16.98409013294618
วิทยุ,วิทยุ,-1.1113594538824003,-17.827797854469836
วิทยุ,สาทร,-10.36520771323255,-10.932746049957501
ศรีย่าน,นครไชยศรี,23.837401720794766,565.577799231899
ศรีย่าน,สามเสน,35.24075500770415,-330.976502311248
ศาลาแดง,พระรามที่ 4,-24.9807816390518,-4.6370164579285955
ศาลาแดง,ราชดำริ,-9.152274494935043,13.858915627575783
ศาลาแดง,สีลม,33.90249074412074,70.46897759447471
สะพานขาว,กรุงเกษม,3.8975740233308187,17.02151496337929
สะพานขาว,หลานหลวง,-1.2494903850823675,-14.44817088675046
สะพานแดง,ทหาร,16.270943204289026,11.550339595438132
สะพานแดง,ประดิพัทธ์,-12.382929884507178,-51.251480551165116
สะพานแดง,พระรามที่ 5,13.128665878956298,53.7646650754418
สะพานแดง,เตชะวณิช,-6.6068540671333125,-25.65442020665901
สาทร - นราธิวาส,สาทร,32.17669809379501,24.4984286435827
