intersection_key,road_key,time_key,report_quarter,Before,During,After
วัดสน,สุขสวัสดิ์,07:00-09:00,1,100.0,133.01797540208136,104.88804793440556
ศรีอยุธยา,พระรามที่ 6,07:00-09:00,4,100.0,62.4866785079929,70.8348134991119
ศรีอยุธยา,ศรีอยุธยา,07:00-09:00,4,100.0,98.21768707482993,85.71428571428571
สะพานควาย,ประดิพัทธ์,07:00-09:00,3,100.0,99.09738717339668,68.26603325415677
สะพานควาย,พหลโยธิน,07:00-09:00,3,100.0,132.0216606498195,81.64259927797833
สะพานควาย,สุทธิสาร,07:00-09:00,3,100.0,67.62389995368227,71.14404817044928
สาธุประดิษฐ์,สาธุประดิษฐ์,09:00-16:00,2,100.0,103.19222761970855,69.25746009715475
สามเสน,นครไชยศรี,07:00-09:00,4,100.0,104.7569803516029,96.43226473629782
สามเสน,สวรรคโลก,07:00-09:00,4,100.0,142.4925816023739,97.74480712166172
สามเสน,เทอดดำริ,07:00-09:00,4,100.0,105.0767414403778,100.29515938606848
หมอมี,พระรามที่ 4,07:00-09:00,4,100.0,68.03435114503816,130.34351145038167
หมอมี,เจริญกรุง,07:00-09:00,4,100.0,54.72009915306755,39.06217723610824
หลักสี่,กำแพงเพชร 6,07:00-09:00,2,100.0,43.11194555268717,49.2372682468904
หลักสี่,แจ้งวัฒนะ,07:00-09:00,2,100.0,71.62390276839973,82.71438217420662
หัวลำโพง,พระรามที่ 4,07:00-09:00,1,100.0,57.28970791024195,116.22163720697003
หัวลำโพง,มหาพฤฒาราม,07:00-09:00,1,100.0,89.14167528438469,217.37331954498447
ห้วยขวาง,รัชดาภิเษก,07:00-09:00,4,100.0,92.63174628407917,96.13703203242986
อนามัย,พลับพลาไชย,07:00-09:00,4,100.0,94.4254835039818,57.45164960182025
อุรุพงษ์,พระรามที่ 6,07:00-09:00,2,100.0,38.33434650455927,56.06079027355623
อุรุพงษ์,เพชรบุรี,07:00-09:00,2,100.0,50.165542611894544,53.26793378295525
เกษมราษฎร์,พระรามที่ 4,07:00-09:00,2,100.0,87.41693765021914,97.17234553937509
เกษมราษฎร์,พระรามที่ 4,09:00-16:00,2,100.0,84.25893172974884,91.29819596745668
เกษมราษฎร์,พระรามที่ 4,16:00-19:00,2,100.0,85.75100401606426,98.40160642570281
เกษมราษฎร์,เกษมราษฎร์,09:00-16:00,2,100.0,99.60906958561377,132.7339066979411
เตาปูน,ประชาราษฎร์สาย 2,07:00-09:00,3,100.0,61.87221396731055,103.12035661218424
แบริ่ง,สุขุมวิท,07:00-09:00,4,100.0,101.27090301003345,100.48160535117057
โพธิ์สามต้น,วังเดิม,07:00-09:00,3,100.0,88.2903981264637,85.48009367681499
โพธิ์สามต้น,อิสรภาพ,07:00-09:00,3,100.0,65.37224833044769,84.93692802374474
