intersection_key,road_key,time_key,covid_period,median,mean,size
คลองประปา,ประชาชื่น,07:00-09:00,หลังโควิด,546.5,546.5,1
คลองประปา,ประชาชื่น,07:00-09:00,โควิด,1032.0,1032.0,1
คลองประปา,เลียบคลองประปา,07:00-09:00,ก่อนโควิด,407.5,407.5,1
คลองประปา,เลียบคลองประปา,07:00-09:00,หลังโควิด,955.5,955.5,1
คลองประปา,เลียบคลองประปา,07:00-09:00,โควิด,751.0,751.0,1
คลองประปา,แจ้งวัฒนะ,07:00-09:00,ก่อนโควิด,7820.0,7820.0,1
คลองประปา,แจ้งวัฒนะ,07:00-09:00,หลังโควิด,7929.0,7929.0,1
คลองประปา,แจ้งวัฒนะ,07:00-09:00,โควิด,7202.5,7202.5,1
คลองสาน,ลาดหญ้า,07:00-09:00,ก่อนโควิด,806.0,763.6666666666666,3
คลองสาน,ลาดหญ้า,07:00-09:00,หลังโควิด,653.5,672.375,4
คลองสาน,ลาดหญ้า,07:00-09:00,โควิด,697.0,697.0,1
คลองสาน,ลาดหญ้า,09:00-16:00,ก่อนโควิด,707.7142857142857,659.2380952380953,3
คลองสาน,ลาดหญ้า,09:00-16:00,หลังโควิด,624.7142857142857,624.7142857142857,1
คลองสาน,ลาดหญ้า,09:00-16:00,โควิด,740.8571428571429,740.8571428571429,1
คลองสาน,ลาดหญ้า,16:00-19:00,ก่อนโควิด,592.6666666666666,607.3333333333334,3
คลองสาน,ลาดหญ้า,16:00-19:00,หลังโควิด,465.0,465.0,1
คลองสาน,ลาดหญ้า,16:00-19:00,โควิด,720.3333333333334,720.3333333333334,1
คลองสาน,สมเด็จเจ้าพระยา,07:00-09:00,ก่อนโควิด,590.0,634.5,3
คลองสาน,สมเด็จเจ้าพระยา,07:00-09:00,หลังโควิด,720.25,709.5,4
คลองสาน,สมเด็จเจ้าพระยา,07:00-09:00,โควิด,336.0,336.0,1
คลองสาน,สมเด็จเจ้าพระยา,09:00-16:00,ก่อนโควิด,734.8571428571429,694.2380952380953,3
คลองสาน,สมเด็จเจ้าพระยา,09:00-16:00,หลังโควิด,583.0,583.0,1
คลองสาน,สมเด็จเจ้าพระยา,09:00-16:00,โควิด,461.42857142857144,461.42857142857144,1
คลองสาน,สมเด็จเจ้าพระยา,16:00-19:00,ก่อนโควิด,589.6666666666666,692.1111111111112,3
คลองสาน,สมเด็จเจ้าพระยา,16:00-19:00,หลังโควิด,516.6666666666666,516.6666666666666,1
คลองสาน,สมเด็จเจ้าพระยา,16:00-19:00,โควิด,462.0,462.0,1
คลองสาน,เจริญนคร,07:00-09:00,ก่อนโควิด,951.0,1145.0,3
คลองสาน,เจริญนคร,07:00-09:00,หลังโควิด,1064.25,1062.625,4
คลองสาน,เจริญนคร,07:00-09:00,โควิด,591.5,591.5,1
คลองสาน,เจริญนคร,09:00-16:00,ก่อนโควิด,952.8571428571429,1059.8095238095239,3
คลองสาน,เจริญนคร,09:00-16:00,หลังโควิด,649.8571428571429,649.8571428571429,1
คลองสาน,เจริญนคร,09:00-16:00,โควิด,633.8571428571429,633.8571428571429,1
คลองสาน,เจริญนคร,16:00-19:00,ก่อนโควิด,1123.0,1029.888888888889,3
คลองสาน,เจริญนคร,16:00-19:00,หลังโควิด,791.0,791.0,1
คลองสาน,เจริญนคร,16:00-19:00,โควิด,580.0,580.0,1
